model,dtype,xpu,cap,bw,sys_opb,pim_num,pim_core_num,hw,cores,pipe_level,is parallel,power constraint,gqa_size,Lin,Lout,bs,required_cap,s_flops,g_flops,s_time,s_matmul,s_fc,s_comm,s_softmax,s_act,s_lnorm,g_time (ms),g_matmul,g_fc,g_comm,g_etc,g_qkv_time,g_prj_time,g_ff_time,g2g_comm,c2g_comm,g_softmax,g_act,g_lnorm,g_energy (nJ),g_dram_energy,g_l2_energy,g_l1_energy,g_reg_energy,g_alu_energy,g_fc_mem_energy,g_fc_comp_energy,g_attn_mem_energy,g_attn_comp_energy,g_etc_mem_energy,g_etc_comp_energy,g_comm_energy
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,1024,2,1,13422461088.0,13753827459071.998,13432001535.999998,71.35564729934256,7.433597243076925,55.805530267807264,0.0,5.087573572932753,1.3937994830769234,1.6351467324486872,2.720941658856464,0.037158079999999996,1.9731979486904183,0.00010922666666666666,0.7065623223537947,1.1629467151337218,0.38771359688789836,0.4225376366687981,0.0,0.00010922666666666666,0.0039140811455847255,0.26571487437288777,0.4408474479809069,428460915.4457599,372696346.64447993,34805383.168,17531855.175679997,1304844.0422400003,2106128.6297600004,370182371.4099199,55689913.30304,2408572.37504,43831.296,105402.85952,14466.41664,16357.785600000001
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,128,1920,1,13958446944.0,864258305.2006252,13465354240.000687,9.252281897179,0.23848001123122284,8.024251287584972,0.0,0.07949333707707426,0.3209439197296419,0.589113341556086,2.720972080854388,0.03789101113496606,1.9722548667606707,0.00010922666666666076,0.7065623223538071,1.1622394036865213,0.38747782640549816,0.42253763666880256,0.0,0.00010922666666666076,0.0041546539379474935,0.2657148743728825,0.4408474479808975,428591264.9645328,372824002.14217424,34805383.16799309,17531855.17568259,1304844.0422399295,2108822.65088022,370182371.40991145,55689913.30304134,2536227.8727312977,46525.31711999999,105402.85952,14466.416640000829,16357.78559999995
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,128,1920,4,17179082112.0,3457033220.8025007,53861416960.00275,30.97191014917061,0.4769600224624457,28.60165034479121,0.0,0.15898667415414852,0.6968997415384617,1.0374133662243437,3.6539669919617,0.15456610512975472,2.7709760749982904,0.00043690666666664304,0.7113692894151973,1.1491731056567953,0.3567841879167654,1.2650187814247318,0.0,0.00043690666666664304,0.016618615751789974,0.2670194974915403,0.4443497919235991,454900277.15187186,381142072.9202337,39388708.86400364,20649397.45279834,5219376.168959718,8435290.60352088,370566338.96961665,73448806.1542469,10154122.512545582,186101.26847999997,421611.43808,57865.666560003316,65431.1423999998
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,128,1920,8,21473262336.0,6914066441.605001,107722833920.0055,59.78839652825777,0.7154400336936685,55.805530267807264,0.0,0.23848001123122284,1.3937994830769234,1.6351467324486872,4.40021323952397,0.31522646673476,3.333097149122046,0.0008738133333332861,0.7177785788303398,1.022024959860108,0.3146257377080608,1.9964464515537668,0.0,0.0008738133333332861,0.03323723150357995,0.2687589949830911,0.4490195838472908,486310906.89260894,392220536.1483485,41844054.42560245,24806120.488960687,10438752.337919436,16870581.20704176,371078295.71589136,93471574.58944242,20299017.556291167,372202.53695999994,843222.87616,115731.33312000663,130862.2847999996
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,128,1920,16,30061622784.0,13828132883.210003,215445667840.011,115.0941267740692,1.1924000561561139,107.88604760147649,0.0,0.3974666853853714,2.7875989661538467,2.8306134648973744,5.239502635643751,0.6372026296029201,3.803480758706564,0.0017476266666665722,0.7305971576606969,0.7672524503900986,0.3102644767714303,2.7259638315449863,0.0,0.0017476266666665722,0.0664744630071599,0.27223798996621595,0.4583591676945321,545692837.0941497,414377462.6044495,43315416.26879059,33119566.56127994,20877504.675838873,33741162.41408352,372102209.208376,130077782.17984733,40588807.64378234,744405.0739199999,1686445.75232,231462.66624001326,261724.5695999992
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,128,1920,32,47238343680.0,27656265766.420006,430891335680.022,228.07124904200828,2.3848001123122278,214.09477069682282,0.0,0.7949333707707428,5.5751979323076934,5.22154692979475,6.386943780981492,1.2814539957561255,4.21281129055577,0.0034952533333331443,0.7562343153214522,0.3740944791485363,0.2843363145562098,3.554380496851109,0.0,0.0034952533333331443,0.1329489260143198,0.2791959799324196,0.4770383353889837,676224907.8878481,458691315.51667356,41533675.92960145,66239133.12255988,41755009.351677746,67482324.82816704,374150036.1932834,215058407.7516959,81168387.81876463,1488810.1478399998,3372891.50464,462925.3324800265,523449.1391999984
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,1024,1024,1,13958446944.0,13444601621.77126,13702529023.999527,71.35564729934256,7.433597243076925,55.805530267807264,0.0,5.087573572932753,1.3937994830769234,1.6351467324486872,2.721505071758134,0.05323598019941353,1.9557321487434016,0.00010922666666667122,0.7065623223537792,1.1498473651734267,0.38334714690113336,0.42253763666881905,0.0,0.00010922666666667122,0.0058653937947494034,0.26571487437288477,0.44084744798089814,429646451.33184075,373860031.02586865,34805383.16800073,17531855.175681714,1304844.0422399787,2127980.1344001894,370182371.4098945,55689913.30303832,3572256.756449537,65682.80064,105402.85952000222,14466.41664000042,16357.785600000208
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,1024,1024,4,17179082112.0,53778406487.08504,54810116095.99811,249.93385719094462,14.86719448615385,214.09477069682282,0.0,10.175147145865505,5.5751979323076934,5.22154692979475,3.6562054187014206,0.21935280137634422,2.7015848460643275,0.0004369066666666849,0.7113692894151462,1.097129683956304,0.33943638068326815,1.2650187814246778,0.0,0.0004369066666666849,0.023461575178997614,0.2670194974915516,0.44434979192364216,459121014.4474808,385286180.2817905,39388708.863998994,20649397.45279798,5219376.168959915,8511920.537600758,370566338.9696279,73448806.15424421,14298229.874074629,262731.20256,421611.4380800089,57865.66656000168,65431.142400000834
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,1024,1024,8,21473262336.0,107556812974.17007,109620232191.99622,494.64881941158984,22.30079172923077,435.93149723935596,0.0,15.262720718798262,11.150395864615387,10.003413859589498,4.404670375260952,0.44416889146432115,3.1949259412749775,0.0008738133333333698,0.717778578830383,0.9183965539748726,0.2800829357463159,1.9964464515539022,0.0,0.0008738133333333698,0.04692315035799523,0.26875899498310113,0.4490195838472451,494752381.4838199,400508750.87137437,41844054.42559779,24806120.488960464,10438752.33791983,17023841.075201515,371078295.71587557,93471574.58943936,28587232.279349294,525462.40512,843222.8761600178,115731.33312000336,130862.28480000167
LLAMA-7B,W16A16,GPU,112,6.4,93.07875894988067,1,2,BA,1,True,True,False,0,1024,1024,16,30061622784.0,215113625948.34015,219240464383.99243,966.545629391748,37.167986215384616,862.0718358632897,0.0,25.43786786466377,22.300791729230774,19.567147719178998,5.248419495008483,0.895170291550345,3.5270581184144714,0.0017476266666667396,0.7305971576607498,0.5599354701711035,0.2411588166984311,2.7259638315448793,0.0,0.0017476266666667396,0.09384630071599045,0.27223798996620496,0.4583591676945216,562575786.2764494,430953892.0505622,43315416.26879876,33119566.561278954,20877504.67583966,34047682.15040303,372102209.20834696,130077782.17984957,57165237.08989856,1050924.81024,1686445.7523200356,231462.6662400067,261724.56960000333
