L,nhead,dhead,dbyte,pim_type,power_constraint,cycle,mac,softmax,mvgb,mvsb,wrgb
129,7,128,2,BA,False,229,252,7,56,168,56
130,7,128,2,BA,False,229,252,7,56,168,56
131,7,128,2,BA,False,229,252,7,56,168,56
132,7,128,2,BA,False,229,252,7,56,168,56
133,7,128,2,BA,False,229,252,7,56,168,56
134,7,128,2,BA,False,229,252,7,56,168,56
135,7,128,2,BA,False,229,252,7,56,168,56
136,7,128,2,BA,False,229,252,7,56,168,56
137,7,128,2,BA,False,229,252,7,56,168,56
138,7,128,2,BA,False,229,252,7,56,168,56
139,7,128,2,BA,False,229,252,7,56,168,56
140,7,128,2,BA,False,229,252,7,56,168,56
141,7,128,2,BA,False,229,252,7,56,168,56
142,7,128,2,BA,False,229,252,7,56,168,56
143,7,128,2,BA,False,229,252,7,56,168,56
144,7,128,2,BA,False,229,252,7,56,168,56
145,7,128,2,BA,False,245,280,7,56,168,56
146,7,128,2,BA,False,245,280,7,56,168,56
147,7,128,2,BA,False,245,280,7,56,168,56
148,7,128,2,BA,False,245,280,7,56,168,56
149,7,128,2,BA,False,245,280,7,56,168,56
150,7,128,2,BA,False,245,280,7,56,168,56
151,7,128,2,BA,False,245,280,7,56,168,56
152,7,128,2,BA,False,245,280,7,56,168,56
153,7,128,2,BA,False,245,280,7,56,168,56
154,7,128,2,BA,False,245,280,7,56,168,56
155,7,128,2,BA,False,245,280,7,56,168,56
156,7,128,2,BA,False,245,280,7,56,168,56
157,7,128,2,BA,False,245,280,7,56,168,56
158,7,128,2,BA,False,245,280,7,56,168,56
159,7,128,2,BA,False,245,280,7,56,168,56
160,7,128,2,BA,False,245,280,7,56,168,56
161,7,128,2,BA,False,261,308,7,56,168,56
162,7,128,2,BA,False,261,308,7,56,168,56
163,7,128,2,BA,False,261,308,7,56,168,56
164,7,128,2,BA,False,261,308,7,56,168,56
165,7,128,2,BA,False,261,308,7,56,168,56
166,7,128,2,BA,False,261,308,7,56,168,56
167,7,128,2,BA,False,261,308,7,56,168,56
168,7,128,2,BA,False,261,308,7,56,168,56
169,7,128,2,BA,False,261,308,7,56,168,56
170,7,128,2,BA,False,261,308,7,56,168,56
171,7,128,2,BA,False,261,308,7,56,168,56
172,7,128,2,BA,False,261,308,7,56,168,56
173,7,128,2,BA,False,261,308,7,56,168,56
174,7,128,2,BA,False,261,308,7,56,168,56
175,7,128,2,BA,False,261,308,7,56,168,56
176,7,128,2,BA,False,261,308,7,56,168,56
177,7,128,2,BA,False,277,336,7,56,168,56
178,7,128,2,BA,False,277,336,7,56,168,56
179,7,128,2,BA,False,277,336,7,56,168,56
180,7,128,2,BA,False,277,336,7,56,168,56
181,7,128,2,BA,False,277,336,7,56,168,56
182,7,128,2,BA,False,277,336,7,56,168,56
183,7,128,2,BA,False,277,336,7,56,168,56
184,7,128,2,BA,False,277,336,7,56,168,56
185,7,128,2,BA,False,277,336,7,56,168,56
186,7,128,2,BA,False,277,336,7,56,168,56
187,7,128,2,BA,False,277,336,7,56,168,56
188,7,128,2,BA,False,277,336,7,56,168,56
189,7,128,2,BA,False,277,336,7,56,168,56
190,7,128,2,BA,False,277,336,7,56,168,56
191,7,128,2,BA,False,277,336,7,56,168,56
192,7,128,2,BA,False,277,336,7,56,168,56
193,7,128,2,BA,False,293,364,7,56,168,56
194,7,128,2,BA,False,293,364,7,56,168,56
195,7,128,2,BA,False,293,364,7,56,168,56
196,7,128,2,BA,False,293,364,7,56,168,56
197,7,128,2,BA,False,293,364,7,56,168,56
198,7,128,2,BA,False,293,364,7,56,168,56
199,7,128,2,BA,False,293,364,7,56,168,56
200,7,128,2,BA,False,293,364,7,56,168,56
201,7,128,2,BA,False,293,364,7,56,168,56
202,7,128,2,BA,False,293,364,7,56,168,56
203,7,128,2,BA,False,293,364,7,56,168,56
204,7,128,2,BA,False,293,364,7,56,168,56
205,7,128,2,BA,False,293,364,7,56,168,56
206,7,128,2,BA,False,293,364,7,56,168,56
207,7,128,2,BA,False,293,364,7,56,168,56
208,7,128,2,BA,False,293,364,7,56,168,56
209,7,128,2,BA,False,309,392,7,56,168,56
210,7,128,2,BA,False,309,392,7,56,168,56
211,7,128,2,BA,False,309,392,7,56,168,56
212,7,128,2,BA,False,309,392,7,56,168,56
213,7,128,2,BA,False,309,392,7,56,168,56
214,7,128,2,BA,False,309,392,7,56,168,56
215,7,128,2,BA,False,309,392,7,56,168,56
216,7,128,2,BA,False,309,392,7,56,168,56
217,7,128,2,BA,False,309,392,7,56,168,56
218,7,128,2,BA,False,309,392,7,56,168,56
219,7,128,2,BA,False,309,392,7,56,168,56
220,7,128,2,BA,False,309,392,7,56,168,56
221,7,128,2,BA,False,309,392,7,56,168,56
222,7,128,2,BA,False,309,392,7,56,168,56
223,7,128,2,BA,False,309,392,7,56,168,56
224,7,128,2,BA,False,309,392,7,56,168,56
225,7,128,2,BA,False,325,420,7,56,168,56
226,7,128,2,BA,False,325,420,7,56,168,56
227,7,128,2,BA,False,325,420,7,56,168,56
228,7,128,2,BA,False,325,420,7,56,168,56
229,7,128,2,BA,False,325,420,7,56,168,56
230,7,128,2,BA,False,325,420,7,56,168,56
231,7,128,2,BA,False,325,420,7,56,168,56
232,7,128,2,BA,False,325,420,7,56,168,56
233,7,128,2,BA,False,325,420,7,56,168,56
234,7,128,2,BA,False,325,420,7,56,168,56
235,7,128,2,BA,False,325,420,7,56,168,56
236,7,128,2,BA,False,325,420,7,56,168,56
237,7,128,2,BA,False,325,420,7,56,168,56
238,7,128,2,BA,False,325,420,7,56,168,56
239,7,128,2,BA,False,325,420,7,56,168,56
240,7,128,2,BA,False,325,420,7,56,168,56
241,7,128,2,BA,False,341,448,7,56,168,56
242,7,128,2,BA,False,341,448,7,56,168,56
243,7,128,2,BA,False,341,448,7,56,168,56
244,7,128,2,BA,False,341,448,7,56,168,56
245,7,128,2,BA,False,341,448,7,56,168,56
246,7,128,2,BA,False,341,448,7,56,168,56
247,7,128,2,BA,False,341,448,7,56,168,56
248,7,128,2,BA,False,341,448,7,56,168,56
249,7,128,2,BA,False,341,448,7,56,168,56
250,7,128,2,BA,False,341,448,7,56,168,56
251,7,128,2,BA,False,341,448,7,56,168,56
252,7,128,2,BA,False,341,448,7,56,168,56
253,7,128,2,BA,False,341,448,7,56,168,56
254,7,128,2,BA,False,341,448,7,56,168,56
255,7,128,2,BA,False,341,448,7,56,168,56
256,7,128,2,BA,False,341,448,7,56,168,56
257,7,128,2,BA,False,453,476,7,112,224,56
258,7,128,2,BA,False,453,476,7,112,224,56
259,7,128,2,BA,False,453,476,7,112,224,56
260,7,128,2,BA,False,453,476,7,112,224,56
261,7,128,2,BA,False,453,476,7,112,224,56
262,7,128,2,BA,False,453,476,7,112,224,56
263,7,128,2,BA,False,453,476,7,112,224,56
264,7,128,2,BA,False,453,476,7,112,224,56
265,7,128,2,BA,False,453,476,7,112,224,56
266,7,128,2,BA,False,453,476,7,112,224,56
267,7,128,2,BA,False,453,476,7,112,224,56
268,7,128,2,BA,False,453,476,7,112,224,56
269,7,128,2,BA,False,453,476,7,112,224,56
270,7,128,2,BA,False,453,476,7,112,224,56
271,7,128,2,BA,False,453,476,7,112,224,56
272,7,128,2,BA,False,453,476,7,112,224,56
273,7,128,2,BA,False,461,504,7,112,224,56
274,7,128,2,BA,False,461,504,7,112,224,56
275,7,128,2,BA,False,461,504,7,112,224,56
276,7,128,2,BA,False,461,504,7,112,224,56
277,7,128,2,BA,False,461,504,7,112,224,56
278,7,128,2,BA,False,461,504,7,112,224,56
